timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666542015635,132,Delete Users,200,OK,endurance 1-13,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,132,0,0
1666542015767,131,Get User by ID,200,OK,endurance 1-13,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,131,0,0
1666542017068,542,Get Users,200,OK,endurance 1-14,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,542,0,408
1666542017611,125,Delete Users,200,OK,endurance 1-14,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,125,0,0
1666542017737,126,Get User by ID,200,OK,endurance 1-14,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,125,0,0
1666542019064,557,Get Users,200,OK,endurance 1-15,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,557,0,416
1666542019621,127,Delete Users,200,OK,endurance 1-15,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,127,0,0
1666542019749,129,Get User by ID,200,OK,endurance 1-15,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,129,0,0
1666542021061,541,Get Users,200,OK,endurance 1-16,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,541,0,399
1666542021602,131,Delete Users,200,OK,endurance 1-16,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,131,0,0
1666542021734,129,Get User by ID,200,OK,endurance 1-16,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,129,0,0
1666542023061,589,Get Users,200,OK,endurance 1-17,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,589,0,452
1666542023651,130,Delete Users,200,OK,endurance 1-17,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,130,0,0
1666542023782,131,Get User by ID,200,OK,endurance 1-17,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,131,0,0
1666542025065,592,Get Users,200,OK,endurance 1-18,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,592,0,437
1666542025657,135,Delete Users,200,OK,endurance 1-18,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,135,0,0
1666542025793,133,Get User by ID,200,OK,endurance 1-18,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,133,0,0
1666542027063,555,Get Users,200,OK,endurance 1-19,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,555,0,423
1666542027619,126,Delete Users,200,OK,endurance 1-19,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,126,0,0
1666542027746,130,Get User by ID,200,OK,endurance 1-19,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,130,0,0
1666542029063,559,Get Users,200,OK,endurance 1-20,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,559,0,417
1666542029622,126,Delete Users,200,OK,endurance 1-20,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,126,0,0
1666542029749,128,Get User by ID,200,OK,endurance 1-20,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,128,0,0
1666542031060,569,Get Users,200,OK,endurance 1-21,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,569,0,428
1666542031630,137,Delete Users,200,OK,endurance 1-21,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,137,0,0
1666542031768,133,Get User by ID,200,OK,endurance 1-21,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,133,0,0
1666542033060,550,Get Users,200,OK,endurance 1-22,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,550,0,417
1666542033610,128,Delete Users,200,OK,endurance 1-22,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,128,0,0
1666542033738,135,Get User by ID,200,OK,endurance 1-22,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,135,0,0
1666542035068,567,Get Users,200,OK,endurance 1-23,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,567,0,426
1666542035636,128,Delete Users,200,OK,endurance 1-23,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,128,0,0
1666542035764,128,Get User by ID,200,OK,endurance 1-23,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,128,0,0
1666542037060,539,Get Users,200,OK,endurance 1-24,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,539,0,402
